Date 	Symbol 	Security Name 	Client Name 	Buy / Sell 	Quantity Traded 	Trade Price / Wght. Avg. Price 	Remarks 
31-Jul-23	AROGRANITE	Aro Granite Industries Li	ABHINAV AGARWAL	BUY	"88,346"	43.64	-
31-Jul-23	AROGRANITE	Aro Granite Industries Li	ABHINAV AGARWAL	SELL	"1,547"	43.38	-
31-Jul-23	AROGRANITE	Aro Granite Industries Li	ORION STOCKS LTD	BUY	"56,017"	43.95	-
31-Jul-23	AROGRANITE	Aro Granite Industries Li	ORION STOCKS LTD	SELL	"1,46,913"	43.7	-
31-Jul-23	BAJAJHIND	Bajaj Hindustan Sugar Ltd	HI GROWTH CORPORATE SERVICES PVT LTD	BUY	"87,14,325"	16.27	-
31-Jul-23	BAJAJHIND	Bajaj Hindustan Sugar Ltd	HI GROWTH CORPORATE SERVICES PVT LTD	SELL	"83,45,325"	16.27	-
31-Jul-23	BANDHANBNK	Bandhan Bank Limited	SOCIETE GENERALE	BUY	"89,23,493"	218.6	-
31-Jul-23	BEML	BEML Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"2,76,767"	"1,988.92"	-
31-Jul-23	BEML	BEML Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"2,76,767"	"1,988.96"	-
31-Jul-23	DIL	Debock Industries Limited	JAYSHREE NIRMAN LTD.	BUY	"10,00,000"	13.25	-
31-Jul-23	DIL	Debock Industries Limited	RAJESHBHAI PATEL	BUY	"6,25,000"	13.34	-
31-Jul-23	DIL	Debock Industries Limited	RAJESHBHAI PATEL	SELL	"6,25,000"	13.32	-
31-Jul-23	DIL	Debock Industries Limited	RANJANBEN RAMESHBHAI SONARA	BUY	"6,75,000"	13.33	-
31-Jul-23	DIL	Debock Industries Limited	RANJANBEN RAMESHBHAI SONARA	SELL	"6,75,000"	13.31	-
31-Jul-23	DIL	Debock Industries Limited	SHAH JAYDEEP DINESHBHAI	BUY	"6,25,000"	13.31	-
31-Jul-23	DIL	Debock Industries Limited	SHAH JAYDEEP DINESHBHAI	SELL	"6,25,000"	13.34	-
31-Jul-23	DIL	Debock Industries Limited	V JOSHI IMPEX PRIVATE LIMITED .	SELL	"10,00,000"	13.25	-
31-Jul-23	DIL	Debock Industries Limited	VARSHABEN PARMAR	BUY	"6,24,820"	13.32	-
31-Jul-23	DIL	Debock Industries Limited	VARSHABEN PARMAR	SELL	"6,24,820"	13.33	-
31-Jul-23	ERIS	Eris Lifesciences Limited	PLUTUS WEALTH MANAGEMENT LLP	BUY	"12,10,000"	783.03	-
31-Jul-23	ERIS	Eris Lifesciences Limited	PLUTUS WEALTH MANAGEMENT LLP	BUY	"10,00,000"	783	-
31-Jul-23	ERIS	Eris Lifesciences Limited	SHAH RAKESH	SELL	"20,00,000"	783	-
31-Jul-23	ESFL	Essen Speciality Films L	SMC GLOBAL SECURITIES LIMITED	BUY	"1,32,000"	154.49	-
31-Jul-23	ESFL	Essen Speciality Films L	SMC GLOBAL SECURITIES LIMITED	SELL	"14,400"	153.35	-
31-Jul-23	FINOPB	Fino Payments Bank Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"4,49,875"	343.95	-
31-Jul-23	FINOPB	Fino Payments Bank Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"4,49,875"	343.82	-
31-Jul-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	BUY	"49,78,527"	14.01	-
31-Jul-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	SELL	"20,87,174"	14.11	-
31-Jul-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	BUY	"66,97,064"	14.02	-
31-Jul-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	SELL	"64,02,918"	13.99	-
31-Jul-23	IBULHSGFIN	Indiabulls Hsg Fin Ltd	HRTI PRIVATE LIMITED	BUY	"26,76,423"	142.86	-
31-Jul-23	IBULHSGFIN	Indiabulls Hsg Fin Ltd	HRTI PRIVATE LIMITED	SELL	"27,53,630"	142.98	-
31-Jul-23	INTELLECT	Intellect Design Arena	GRAVITON RESEARCH CAPITAL LLP	BUY	"6,98,788"	672.98	-
31-Jul-23	INTELLECT	Intellect Design Arena	GRAVITON RESEARCH CAPITAL LLP	SELL	"6,98,788"	673.15	-
31-Jul-23	JSLL	Jeena Sikho Lifecare Ltd	OREGANO LIFE PRIVATE LIMITED	SELL	"2,81,500"	736.55	-
31-Jul-23	JSLL	Jeena Sikho Lifecare Ltd	SOCIETE GENERALE	BUY	"2,75,000"	736.17	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"2,37,104"	352.85	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"2,37,104"	354.03	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	HEMALI PATHIK THAKKAR	BUY	"1,62,975"	353.33	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	HEMALI PATHIK THAKKAR	SELL	"1,62,975"	355.69	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	NIRAJ RAJNIKANT SHAH	BUY	"1,50,000"	360	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	NIRAJ RAJNIKANT SHAH	SELL	"1,75,000"	350.88	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	SW CAPITAL PRIVATE LIMITED	BUY	"4,50,861"	356.39	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	SW CAPITAL PRIVATE LIMITED	SELL	"3,98,286"	356.82	-
31-Jul-23	MOLDTECH	Mold-Tek Technologies Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,47,400"	272.14	-
31-Jul-23	MOLDTECH	Mold-Tek Technologies Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,47,400"	271.81	-
31-Jul-23	PARAGMILK	Parag Milk Foods Ltd.	GRAVITON RESEARCH CAPITAL LLP	BUY	"6,27,495"	174	-
31-Jul-23	PARAGMILK	Parag Milk Foods Ltd.	GRAVITON RESEARCH CAPITAL LLP	SELL	"6,27,495"	174.27	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	SAMBHAVNATH INVESTMENTS AND FINANCES PRIVATE LIMITED	BUY	"40,000"	121.5	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	SUNFLOWER BROKING PRIVATE LIMITED	SELL	"94,000"	121.62	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	V JOSHI IMPEX PRIVATE LIMITED	BUY	"54,000"	121.7	-
31-Jul-23	PERFECT	Perfect Infraengineer Ltd	KAILASHBEN ASHOKKUMAR PATEL	SELL	"84,000"	20.43	-
31-Jul-23	PERFECT	Perfect Infraengineer Ltd	VIJAY KUMAR PAHWA	BUY	"60,000"	20.35	-
31-Jul-23	PROPEQUITY	P. E. Analytics Limited	DHEERAJ LOHIA	BUY	"62,400"	150.86	-
31-Jul-23	PROPEQUITY	P. E. Analytics Limited	INDIA EQUITY FUND 1	SELL	"92,400"	154.41	-
31-Jul-23	REMSONSIND	Remsons Industries Ltd	STOCK VERTEX VENTURES	BUY	"40,381"	345.97	-
31-Jul-23	REMSONSIND	Remsons Industries Ltd	STOCK VERTEX VENTURES	SELL	"15,381"	345.88	-
31-Jul-23	SMVD	SMVD Poly Pack Limited	RAJANNA NAVANEETH	BUY	"52,520"	9.9	-
31-Jul-23	SOTAC	Sotac Pharmaceuticals Ltd	SUNFLOWER BROKING PRIVATE LIMITED	SELL	"1,06,800"	117.42	-
31-Jul-23	SOTAC	Sotac Pharmaceuticals Ltd	V JOSHI IMPEX PRIVATE LIMITED	BUY	"69,600"	117.5	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	GOLDMAN SACHS COLLECTIVE TRUST - EMERGING MARKETS EQUITY EX. CHINA FUND	BUY	"4,68,237"	830	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO	BUY	"3,57,532"	830	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	PADMAJA GANGIREDDY	SELL	"12,50,000"	830.15	-
31-Jul-23	STEL	Sentinel Tea and Exp Ltd	YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .	BUY	"1,00,086"	206.82	-
31-Jul-23	STEL	Sentinel Tea and Exp Ltd	YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .	SELL	"1,00,086"	208.25	-
31-Jul-23	TFCILTD	Tourism Finance Corp	CRONY VYAPAR PVT LTD	BUY	"6,64,400"	90.05	-
31-Jul-23	TFCILTD	Tourism Finance Corp	CRONY VYAPAR PVT LTD	SELL	"6,09,400"	89.8	-
31-Jul-23	TRF	TRF Limited	ASIAN BROKING PVT LTD	BUY	"25,584"	196.5	-
31-Jul-23	TRF	TRF Limited	ASIAN BROKING PVT LTD	SELL	"91,404"	196.51	-
31-Jul-23	VISASTEEL	Visa Steel Limited	ERISKA INVESTMENT FUND LTD	SELL	"40,45,000"	13.56	-
31-Jul-23	VISASTEEL	Visa Steel Limited	M PRASAD & CO LIMITED	BUY	"40,00,000"	13.56	-
01-Aug-23	AILIMITED	Abhishek Integrations Ltd	KAMLESH JIVRAMBHAI PATEL	SELL	"48,000"	40.6	-
01-Aug-23	CONTROLPR	Control Print Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,06,215"	683.38	-
01-Aug-23	CONTROLPR	Control Print Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,06,215"	683.85	-
01-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"78,844"	272.85	-
01-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"78,844"	272.93	-
01-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"12,68,053"	294.62	-
01-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"12,68,053"	294.71	-
01-Aug-23	DHARMAJ	Dharmaj Crop Guard Ltd	KRONE INVESTMENTS	BUY	"1,21,420"	196.82	-
01-Aug-23	DHARMAJ	Dharmaj Crop Guard Ltd	KRONE INVESTMENTS	SELL	"1,81,420"	199.12	-
01-Aug-23	DIL	Debock Industries Limited	A S CONFIN PRIVATE LIMITED	BUY	"5,22,573"	13.01	-
